District,,2011,,,2016,,,2021,,,2026,,,2031,
,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female
Taplejung,127461,60552,66909,129694,61489,68205,130992,62015,68977,134769,63769,71000,136824,64684,72140
Panchthar,191817,90186,101631,195334,91263,104071,197440,91689,105751,203148,93810,109338,206231,94630,111601
Illam,290254,141126,149128,302791,146765,156026,314201,151901,162300,328016,158285,169731,338131,162808,175323
Jhapa,812650,385096,427554,875828,411125,464703,939491,436797,502694,996913,459087,537826,1044418,475800,568618
Morang,965370,466712,498658,1036841,499337,537504,1108654,532097,576557,1175177,562484,612693,1230237,586970,643267
Sunsari,763487,371229,392258,845555,409542,436013,931436,449583,481853,1001863,482241,519622,1064015,510514,553501
Dhankuta,163412,76515,86897,168131,77907,90224,171841,78778,93063,177840,80653,97187,181583,81351,100232
Tehrathum,101577,47151,54426,101546,46752,54794,100495,45894,54601,102179,46296,55883,102400,45982,56418
Sankhuwasabha,158742,75225,83517,157854,74763,83091,155292,73563,81729,157468,74684,82784,157396,74728,82668
Bhojpur,182459,86053,96406,169139,80205,88934,152216,72643,79573,146236,70330,75906,137302,66555,70747
Solukhumbu,105886,51200,54686,104415,50738,53677,101726,49728,51998,102627,50527,52100,102017,50597,51420
Okhaldhunga,147984,68687,79297,150428,69647,80781,151762,70129,81633,156009,72017,83992,158252,72949,85303
Khotang,206312,97092,109220,190100,89221,100879,169630,79442,90188,161957,75750,86207,150888,70456,80432
Udayapur,317532,149712,167820,339267,157353,181914,360705,164376,196329,380853,170333,210520,396866,173720,223146
Saptari,639284,313846,325438,679548,331589,347959,719000,348788,370212,758110,365767,392343,789309,378481,410828
Siraha,637328,310101,327227,674923,323701,351222,711146,335910,375236,742360,345060,397300,764731,348992,415739
Dhanusha,754777,378538,376239,803785,401225,402560,852097,423481,428616,899589,445384,454205,937881,462324,475557
Mahottari,627580,311016,316564,673405,329966,343439,719181,348280,370901,761650,364418,397232,796305,375821,420484
Sarlahi,769729,389756,379973,838695,426143,412552,909891,464317,445574,972362,498909,473453,1026572,529667,496905
Sindhuli,296192,142123,154069,305164,145888,159276,312448,148885,163563,316532,150446,166086,316013,149755,166258
Ramechhap,202646,93386,109260,206653,95308,111345,209248,96659,112589,215563,99843,115720,219189,101794,117395
Dolakha,186557,87003,99554,187584,86595,100989,186871,85376,101495,190693,86221,104472,191845,85724,106121
Sindhupalchowk,287798,138351,149447,292370,140296,152074,294736,141258,153478,302978,145161,157817,307316,147157,160159
Kavrepalanchowk,381937,182936,199001,394229,189619,204610,404549,195590,208959,420013,204367,215646,430608,210895,219713
Lalitpur,468132,238082,230050,525211,270627,254584,585982,306207,279775,635151,336990,298161,680157,366466,313691
Bhaktapur,304651,154884,149767,340066,175368,164698,377660,197737,179923,408472,217388,191084,436553,236188,200365
Kathmandu,1744240,913001,831239,2011978,1059270,952708,2300890,1219538,1081352,2522103,1347388,1174715,2729056,1469787,1259269
Nuwakot,277471,132787,144684,283827,135593,148234,288328,137588,150740,297622,141987,155635,303208,144582,158626
Rasuwa,43300,21475,21825,44399,21733,22666,45200,21818,23382,46687,22212,24475,47572,22259,25313
Dhading,336067,157834,178233,346950,161896,185054,355975,165076,190899,369235,170237,198998,378016,173143,204873
Makawanpur,420477,206684,213793,443976,217994,225982,466612,229001,237611,490481,240824,249657,509196,250081,259115
Rautahat,686722,351079,335643,772098,398094,374004,862993,449193,413800,935960,492414,443546,1002668,533312,469356
Bara,687708,351244,336464,765053,393956,371097,846772,440049,406723,914078,479992,434086,974815,517351,457464
Parsa,601017,312358,288659,663559,348603,314956,729291,387666,341625,784922,422676,362246,834768,455464,379304
Chitwan,579984,279087,300897,644219,309247,334972,711629,340970,370659,766462,366865,399597,815116,389630,425486
Gorkha,271061,121041,150020,259299,115022,144277,243272,107225,136047,221898,97224,124674,194728,84748,109980
Lamjung,167724,75913,91811,170568,76862,93706,172158,77270,94888,176971,79174,97797,179487,79997,99490
Tanahun,323288,143410,179878,336710,147965,188745,348724,151798,196926,363278,156659,206619,373551,159399,214152
Syangja,289148,125833,163315,270403,117244,153159,246315,106466,139849,215832,93072,122760,178715,76855,101860
Kaski,492098,236385,255713,543767,263777,279990,597988,293247,304741,643183,319275,323908,683513,343537,339976
Manang,6538,3661,2877,6444,3757,2687,6284,3804,2480,6364,3993,2371,6537,3978,2559
Mustang,13452,7093,6359,12477,6552,5925,11240,5878,5362,10803,5628,5175,10140,5261,4879
Myagdi,113641,51395,62246,112643,51079,61564,110419,50248,60171,106452,48675,57777,100385,46125,54260
Parbat,146590,65301,81289,148130,65814,82316,148448,65821,82627,151999,67319,84680,153537,67901,85636
Baglung,268613,117997,150616,277582,121094,156488,285119,123549,161570,295745,127353,168392,302796,129468,173328
Gulmi,280160,120995,159165,268597,115326,153271,252731,107919,144812,249402,105975,143427,241779,102166,139613
Palpa,261180,115840,145340,255386,112189,143197,246206,107113,139093,246502,106222,140280,242885,103540,139345
Nawalparasi,643508,303675,339833,690731,322960,367771,737968,341838,396130,781485,358657,422828,817081,371095,445986
Rupandehi,880196,432193,448003,982851,480673,502178,1091034,531671,559363,1177926,572340,605586,1255541,607988,647553
Kapilbastu,571936,285599,286337,625522,312276,313246,680984,340112,340872,728693,364445,364248,770155,385674,384481
Arghakhanchi,197632,86266,111366,200967,86445,114522,202756,85877,116879,208189,86771,121418,210825,86277,124548
Pyuthan,228102,100053,128049,236540,102446,134094,243816,104220,139596,248726,104895,143831,250142,103895,146247
Rolpa,224506,103100,121406,232419,105445,126974,239145,107135,132010,248289,109800,138489,254389,110864,143525
Rukum,208567,99159,109408,220092,102576,117516,231015,105359,125656,242287,107916,134371,250723,108653,142070
Salyan,242444,115969,126475,259309,122969,136340,276060,129778,146282,291865,136043,155822,304669,140649,164020
Dang,552583,261059,291524,605796,283469,322327,660742,306187,354555,706858,324393,382465,746519,338861,407658
Banke,491313,244255,247058,554630,275149,279481,621921,308048,313873,674817,333999,340818,722827,357398,365429
Bardiya,426576,205080,221496,456547,217438,239109,486334,229428,256906,514332,240343,273989,537038,248276,288762
Surkhet,350804,169421,181383,387858,187876,199982,426673,207480,219193,465096,227306,237790,500484,245858,254626
Dailekha,261770,126990,134780,281758,138298,143460,302085,150179,151906,320983,161832,159151,337052,172379,164673
Jajarkot,171304,85537,85767,186375,93667,92708,201913,102242,99671,215652,110154,105498,227559,117280,110279
Dolpa,36700,18238,18462,39832,20066,19766,43058,22009,21049,45955,23862,22093,48477,25577,22900
Jumla,108921,54898,54023,117958,59835,58123,127214,65007,62207,135577,69878,65699,142768,74235,68533
Kalikot,136948,68833,68115,149371,76137,73234,162277,83965,78312,173642,91311,82331,183639,98156,85483
Mugu,55286,28025,27261,60109,30950,29159,65102,34072,31030,69571,37057,32514,73489,39838,33651
Humla,50858,25833,25025,55261,28254,27007,59800,30810,28990,63841,33181,30660,67340,35315,32025
Bajura,134912,65806,69106,146338,71971,74367,158078,78472,79606,168561,84569,83992,177612,90080,87532
Bajhang,195159,92794,102365,210122,100711,109411,225304,108970,116334,239314,116949,122365,251166,124055,127111
Aachham,257477,120008,137469,274505,129324,145181,291468,138948,152520,308049,148801,159248,321734,157514,164220
Doti,211746,97252,114494,213619,94837,118782,213465,91146,122319,217832,88899,128933,218884,84542,134342
Kailali,775709,378417,397292,870771,422917,447854,971320,469848,501472,1050982,506649,544333,1122577,539044,583533
Kanchanpur,451248,216042,235206,494553,232715,261838,539119,249012,290107,582034,263513,318521,619897,274274,345623
Dadeldhura,142094,66556,75538,151312,70860,80452,160426,75167,85259,168622,79132,89490,175060,82275,92785
Baitadi,250898,117407,133491,260015,121427,138588,267932,124947,142985,278614,129861,148753,286041,133214,152827
Darchula,133274,63605,69669,139712,66818,72894,145761,69914,75847,152622,73503,79119,157838,76331,81507
