District,MALE,FEMALE
Taplejung,61489,68205
Panchthar,91263,104071
Illam,146765,156026
Jhapa,411125,464703
Morang,499337,537504
Sunsari,409542,436013
Dhankuta,77907,90224
Tehrathum,46752,54794
Sankhuwasabha,74763,83091
Bhojpur,80205,88934
Solukhumbu,50738,53677
Okhaldhunga,69647,80781
Khotang,89221,100879
Udayapur,157353,181914
Saptari,331589,347959
Siraha,323701,351222
Dhanusha,401225,402560
Mahottari,329966,343439
Sarlahi,426143,412552
Sindhuli,145888,159276
Ramechhap,95308,111345
Dolakha,86595,100989
Sindhupalchowk,140296,152074
Kavrepalanchowk,189619,204610
Lalitpur,270627,254584
Bhaktapur,175368,164698
Kathmandu,1059270,952708
Nuwakot,135593,148234
Rasuwa,21733,22666
Dhading,161896,185054
Makawanpur,217994,225982
Rautahat,398094,374004
Bara,393956,371097
Parsa,348603,314956
Chitwan,309247,334972
Gorkha,115022,144277
Lamjung,76862,93706
Tanahun,147965,188745
Syangja,117244,153159
Kaski,263777,279990
Manang,3757,2687
Mustang,6552,5925
Myagdi,51079,61564
Parbat,65814,82316
Baglung,121094,156488
Gulmi,115326,153271
Palpa,112189,143197
Nawalparasi,322960,367771
Rupandehi,480673,502178
Kapilbastu,312276,313246
Arghakhanchi,86445,114522
Pyuthan,102446,134094
Rolpa,105445,126974
Rukum,102576,117516
Salyan,122969,136340
Dang,283469,322327
Banke,275149,279481
Bardiya,217438,239109
Surkhet,187876,199982
Dailekha,138298,143460
Jajarkot,93667,92708
Dolpa,20066,19766
Jumla,59835,58123
Kalikot,76137,73234
Mugu,30950,29159
Humla,28254,27007
Bajura,71971,74367
Bajhang,100711,109411
Aachham,129324,145181
Doti,94837,118782
Kailali,422917,447854
Kanchanpur,232715,261838
Dadeldhura,70860,80452
Baitadi,121427,138588
Darchula,66818,72894